mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__splitter,param_clf__n_neighbors,param_clf__weights,param_clf__max_features,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.9114491939544678,0.007922460084249905,0.3006779670715332,0.006981866371088958,LogisticRegression(max_iter=500),,,,,,,,{'clf': LogisticRegression(max_iter=500)},0.6779463243873979,0.6824295277283056,0.6815501781107972,0.6729517258322073,0.6787863898783933,0.6787328291874202,0.003336035060066577,2,0.17019638043896804,0.16883886255924171,0.1730097087378641,0.16880664652567975,0.17049623479436185,0.1702695666112231,0.001533112051762132,5,0.48624862486248627,0.4705558613098514,0.49036873968079253,0.49201981287837093,0.48596587782058337,0.4850317833104169,0.0076055402730524704,28,0.25213918996006845,0.24851039093155064,0.2557772355389694,0.25137072964993673,0.2524299599771298,0.252045501211531,0.0023252848671330446,11,0.6364509074481592,0.6343228967763099,0.6389535707715719,0.6307307734818506,0.6335826842580756,0.6348081665471934,0.002765697078567406,11
1.315506601333618,0.014099221242905309,0.3011016368865967,0.0038780433500587613,DecisionTreeClassifier(),,best,,,,,,"{'clf': DecisionTreeClassifier(), 'clf__max_depth': None, 'clf__splitter': 'best'}",0.5484247374562428,0.5405637781735553,0.5530033165458789,0.5413954059697825,0.5480899152438276,0.5462954306778574,0.004682134931891691,26,0.13426721289811022,0.128053585500394,0.13617588274483677,0.12887545980031528,0.1321205683176205,0.13189854185225536,0.003094454970641004,26,0.5588558855885588,0.5365987892129884,0.5624656026417171,0.5399009356081453,0.5476059438635112,0.5490854313829842,0.010168095563438395,22,0.21651571656899307,0.20676492418619447,0.21926625187727955,0.2080814508431435,0.21287976037655112,0.21270162077043234,0.0047804555962623185,26,0.552784556022142,0.5387323860606172,0.5567015708499498,0.5405788857814614,0.5474404750920798,0.5472475747612501,0.006885539417980147,26
1.3262836933135986,0.02635684732970648,0.3037392616271973,0.005827594796722946,DecisionTreeClassifier(),,random,,,,,,"{'clf': DecisionTreeClassifier(), 'clf__max_depth': None, 'clf__splitter': 'random'}",0.5363262298102315,0.5432045691825831,0.5445276992998404,0.5474757400810711,0.5416410760348851,0.5426350628817221,0.003691285693679757,27,0.12653114412301278,0.12946605141727094,0.13111081828962973,0.13340377757231542,0.1288456481724954,0.12987148791494482,0.0022972867727089554,27,0.5341034103410341,0.5404512933406714,0.5476059438635112,0.5558613098514034,0.5393505778756191,0.5434745070544478,0.007542754407791131,24,0.20459334176148336,0.20889172516485854,0.21156708483946418,0.21516829995739242,0.20800169797304469,0.20964442993924864,0.003549320115526599,27,0.5352283137058953,0.541642137208071,0.5457910189151466,0.551000526768255,0.5405282254758369,0.5428380444146409,0.005291873687270076,27
1.0392252922058105,0.007154136035907938,0.30047359466552737,0.005535947245286126,DecisionTreeClassifier(),10,best,,,,,,"{'clf': DecisionTreeClassifier(), 'clf__max_depth': 10, 'clf__splitter': 'best'}",0.6511699318307437,0.5806055395197445,0.6150350079842771,0.5687262007124432,0.6152806780493797,0.6061634716193176,0.029127877428631627,13,0.16440736878693082,0.1527161862527716,0.15913616173992953,0.15350818799094662,0.15403765364866967,0.15676111168384965,0.00443770815668454,13,0.5203520352035204,0.6064942212438085,0.5718216840946615,0.6345624656026417,0.5448541552008805,0.5756169122691025,0.041092442331224346,14,0.24986793449550979,0.24399424333001218,0.24898154804696862,0.24721269296740994,0.24017467248908297,0.2460462182657967,0.00355718962214059,13,0.6211015968517003,0.6091516965635018,0.6185316463305712,0.6245346357261498,0.6067433946133428,0.6160125940170531,0.006897227569897367,19
0.990148401260376,0.01740780978532825,0.30455794334411623,0.007894735346792916,DecisionTreeClassifier(),10,random,,,,,,"{'clf': DecisionTreeClassifier(), 'clf__max_depth': 10, 'clf__splitter': 'random'}",0.6232880918749616,0.5717005465823252,0.6295909593416043,0.6181058837980592,0.6544036359169635,0.6194178235027827,0.026911478751047886,7,0.1611180904522613,0.15300767056923698,0.1615804690009637,0.1628619580205301,0.16938562998958695,0.1615907636065158,0.005220515092294907,12,0.5643564356435643,0.6257567418822234,0.5536598789212989,0.5850302696752889,0.5371491469455146,0.5731904946135781,0.030534750414423495,16,0.25067187881749325,0.24589100346020762,0.2501554146462763,0.25479386385426656,0.25755376698772925,0.2518131855531946,0.0040239717824130635,12,0.6279539550913267,0.6276826325193775,0.6247140869702189,0.6370734894030929,0.6350503302431753,0.6304948988454382,0.0047289075256698,12
0.9108330726623535,0.015967819878003355,18.550964498519896,0.12285289920982127,KNeighborsClassifier(),,,3.0,uniform,,,,"{'clf': KNeighborsClassifier(), 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.5502057360437266,0.5545046981514463,0.5579781353642058,0.557425377717725,0.5503623633460263,0.554095262124626,0.0033285720284642467,24,0.13263944488924473,0.13505168478990467,0.14095034703683929,0.13533631073216945,0.1345285524568393,0.13570126798099952,0.002787759150138027,24,0.5467546754675467,0.5536598789212989,0.5811777655476059,0.550357732526142,0.5575123830489819,0.5578924871023151,0.012174457013886364,19,0.21348797250859106,0.2171379235916253,0.22687721559780857,0.21724961981316532,0.21675403872900395,0.21830135404803883,0.004507059866239883,24,0.5630608498112168,0.5706295847450851,0.5834642517636464,0.5718694147393524,0.5708278822299133,0.5719703966578429,0.0065513669315145386,24
0.9150080680847168,0.008816830930675713,18.450649881362914,0.28177495919969836,KNeighborsClassifier(),,,3.0,distance,,,,"{'clf': KNeighborsClassifier(), 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.5508812872320825,0.5561628692501381,0.554170249355116,0.5536174917086353,0.5492568480530647,0.5528177491198074,0.002453103129955161,25,0.1317517759013537,0.1350512682137075,0.1358404710920771,0.1318384438741051,0.13274807129555732,0.1334460060753601,0.0016883195384386855,25,0.5407040704070407,0.5509080902586682,0.5586130985140341,0.5371491469455146,0.5492570170610898,0.5473262846372695,0.007633833631912361,23,0.2118762797715271,0.2169249106078665,0.2185380557648832,0.21171366594360086,0.21381896089983932,0.2145743745975434,0.0027301944062555865,25,0.5680352445890977,0.5701200301833134,0.5742215519935867,0.5629530677830323,0.5618203543329781,0.5674300497764017,0.004587783962957132,25
0.9454607009887696,0.019701624355005522,17.625281286239623,0.2914508792794612,KNeighborsClassifier(),,,5.0,uniform,,,,"{'clf': KNeighborsClassifier(), 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.5691825830620892,0.5686912731069214,0.5700159685542316,0.5706915612332637,0.5603734184989559,0.5677909608910923,0.003771770166326545,22,0.13834377174669452,0.13736416829200335,0.1417910447761194,0.13820114701356834,0.1385843821897415,0.13885690280362542,0.0015234849562572325,23,0.5467546754675467,0.542652724270776,0.5646670335718217,0.5437534397358282,0.5635663181067694,0.5522788382305486,0.009764583446948201,21,0.2208152837942908,0.21923290717065036,0.22666519385838949,0.2203881329466875,0.22246361068868128,0.22191302569173987,0.0025922814880869104,23,0.5776856202730539,0.5769572910073008,0.5880927926346042,0.578753242839785,0.5830253923605476,0.5809028678230583,0.004165075629173938,23
0.9291261672973633,0.020849758167536463,18.66922950744629,0.12624701554638493,KNeighborsClassifier(),,,5.0,distance,,,,"{'clf': KNeighborsClassifier(), 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.5640238285328256,0.5602161763802739,0.5647340621545265,0.5713671539122958,0.560189165950129,0.5641060773860102,0.00408895798694188,23,0.1376423768354604,0.13852813852813853,0.14110596567692726,0.1412288017792605,0.13586808394657945,0.13887467335327325,0.002059068091779712,22,0.5517051705170517,0.5635663181067694,0.5701706108970831,0.5591634562465603,0.5487066593285636,0.5586624430192055,0.0078007461514640435,18,0.2203185063152114,0.22239113910305136,0.22622557047712633,0.2255021640217512,0.21780447842708903,0.22244837166884585,0.0031527202541289023,22,0.5781089325662604,0.5855655045543187,0.5835702902704248,0.5821378192403008,0.5758098467425881,0.5810384786747786,0.0035786426262797945,22
0.9317083358764648,0.019824547328892,18.57223196029663,0.12747964746650425,KNeighborsClassifier(),,,7.0,uniform,,,,"{'clf': KNeighborsClassifier(), 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.572314684026285,0.5756310262236689,0.5748679523400073,0.5737010195307701,0.578368750767719,0.5749766865776901,0.0020327157683407183,20,0.14422013274336284,0.14219474497681608,0.1444490876166597,0.1394596115958345,0.14380468529494778,0.14282565244552417,0.0018583270762727298,20,0.5737073707370737,0.5569620253164557,0.5707209686296092,0.5454045129334067,0.5608145294441387,0.5615218814121368,0.010140725386499003,17,0.23049723756906076,0.22655025744347437,0.23054690973766118,0.22212260450521126,0.22891160283050657,0.22772572241718284,0.003156686703773236,20,0.596826564785756,0.5903152028771694,0.5939168634517379,0.5827044613219126,0.5980392958845303,0.5923604776642213,0.005514327662254375,20
0.9469786167144776,0.020690707560976414,18.8249710559845,0.11590957465824256,KNeighborsClassifier(),,,7.0,distance,,,,"{'clf': KNeighborsClassifier(), 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.5791316096542406,0.5651292759319536,0.5740081071121483,0.5789215084141998,0.5713057363960201,0.5736992475017125,0.005216344888383416,21,0.14245135634142878,0.1371657016818307,0.1440689751077736,0.13929849677881173,0.1409097231882042,0.1407788506196098,0.0024035646405654535,21,0.5517051705170517,0.5476059438635112,0.5701706108970831,0.5354980737479361,0.5575123830489819,0.5524984364149128,0.011410727380290241,20,0.2264363923693419,0.21938044317054348,0.23001776198934282,0.22108611679163825,0.2249611370197646,0.2243763702681262,0.0037998947161055037,21,0.5902659657600741,0.5840967045419008,0.5937627899199118,0.5769849832048626,0.5915527792685017,0.5873326445390502,0.0060877924224079895,21
